id,kode,nama,status
1,"TPP","TP Pemda / Jalan Tol / Shelter",1
2,"TPS","TP Swasta / Di Atas Bangunan",1
3,"MBLR","MPBLR",1
4,"MPBDR","MPBDR",1
5,"MEGA","Megatron / Videotron / Bando / LED / Dinamics Wall / Video Wall",1
6,"BR4L","Berjalan Lebih 4 Roda",1
7,"BR4","Berjalan Roda 4",1
8,"BR2","Berjalan Roda 2 / Roda 3",1
9,"RMB","Rombong",1
10,"PWBW","Painting Wall / Branding Wall",1
11,"BLG","Baligho / Banner",1
12,"SPN","Spanduk / Umbul-Umbul",1
13,"PST","Poster / Tempelan (>A3)",1
14,"SLB","Selebaran / Brosur (<=A3)",1
15,"BU","Balon Udara",1
16,"FS","Film / Slide",1
17,"PRG","Peragaan",1
18,"JPO","JPO / Fly Over",1
