id,kode,path,nama
1,"home","/","Beranda"
2,"home-auth","/home","Beranda"
3,"login","/login","Login"
4,"logout","/logout","None"
5,"password","/password","Ubah Kata Sandi"
6,"user","/user","Daftar User"
7,"user-add","/user/add","Tambah User"
8,"user-edit","/user/{id}/edit","Edit User"
9,"user-delete","/user/{id}/delete","Hapus User"
10,"user-act","/user/{act}/act","Act User"
11,"group","/group","Daftar Group"
12,"group-add","/group/add","Tambah Group"
13,"group-edit","/group/{id}/edit","Edit Group"
14,"group-delete","/group/{id}/delete","Hapus Group"
15,"group-act","/group/{act}/act","Act Group"
16,"user-group","/user/group","Daftar user groups"
17,"user-group-add","/user/group/add","Tambah user groups"
18,"user-group-edit","/user/group/{id}/edit","Edit user groups"
19,"user-group-delete","/user/group/{id}/delete","Hapus user groups"
20,"user-group-act","/user/group/{act}/act","Act user groups"
21,"routes","/routes","Routes"
22,"routes-add","/routes/add","Tambah route"
23,"routes-edit","/routes/{id}/edit","Edit route"
24,"routes-delete","/routes/{id}/delete","Hapus route"
25,"routes-act","/routes/{act}/act","Act route"
26,"group-routes","/group/routes","Group Permission"
27,"group-routes-add","/group/routes/add","Tambah group permission"
28,"group-routes-edit","/group/routes/{id}/{id2}/edit","Edit group permission"
29,"group-routes-delete","/group/routes/{id}/{id2}/delete","Hapus group permission"
30,"group-routes-act","/group/routes/{act}/act","Act group permission"
31,"user-unit","/user/unit","Daftar user unit"                   
32,"user-unit-add","/user/unit/add","Tambah user unit"           
33,"user-unit-edit","/user/unit/{id}/edit","Edit user unit"      
34,"user-unit-delete","/user/unit/{id}/delete","Hapus user unit" 
35,"user-unit-act","/user/unit/{act}/act","Act user unit" 
36,"admin-report","/admin/report","Laporan Admin"
37,"admin-report-act","/admin/report/act/{act}","Laporan Admin Action"
38,"urusan","/urusan","Urusan"
39,"urusan-act","/urusan/{act}/act","Baca Urusan"
40,"urusan-add","/urusan/add","Tambah Urusan"
41,"urusan-edit","/urusan/{id}/edit","Edit Urusan"
42,"urusan-delete","/urusan/{id}/delete","Hapus Urusan"
43,"unit","/unit","Unit Kerja"
44,"unit-act","/unit/{act}/act","Baca Unit Kerja"
45,"unit-add","/unit/add","Tambah Unit Kerja"
46,"unit-edit","/unit/{id}/edit","Edit Unit Kerja"
47,"unit-delete","/unit/{id}/delete","Hapus Unit Kerja"
48,"rekening","/rekening","Rekening"
49,"rekening-act","/rekening/{act}/act","Baca Rekening"
50,"rekening-add","/rekening/add","Tambah Rekening"
51,"rekening-edit","/rekening/{id}/edit","Edit Rekening"
52,"rekening-delete","/rekening/{id}/delete","Hapus Rekening"
