id,kode,path,nama
30000,"reklame","/reklame","Pajak Reklame"        
30001,"reklame-kecamatan","/reklame/kecamatan","Kecamatan"
30002,"reklame-kecamatan-act","/reklame/kecamatan/{act}/act","Baca Kecamatan"
30003,"reklame-kecamatan-add","/reklame/kecamatan/add","Tambah Kecamatan"
30004,"reklame-kecamatan-edit","/reklame/kecamatan/{id}/edit","Edit Kecamatan"
30005,"reklame-kecamatan-delete","/reklame/kecamatan/{id}/delete","Hapus Kecamatan"  
30006,"reklame-kelurahan","/reklame/kelurahan","Kelurahan"
30007,"reklame-kelurahan-act","/reklame/kelurahan/{act}/act","Baca Kelurahan"
30008,"reklame-kelurahan-add","/reklame/kelurahan/add","Tambah Kelurahan"
30009,"reklame-kelurahan-edit","/reklame/kelurahan/{id}/edit","Edit Kelurahan"
30010,"reklame-kelurahan-delete","/reklame/kelurahan/{id}/delete","Hapus Kelurahan" 
30011,"reklame-jalan","/reklame/jalan","Jalan"
30012,"reklame-jalan-act","/reklame/jalan/{act}/act","Baca Jalan"
30013,"reklame-jalan-add","/reklame/jalan/add","Tambah Jalan"
30014,"reklame-jalan-edit","/reklame/jalan/{id}/edit","Edit Jalan"
30015,"reklame-jalan-delete","/reklame/jalan/{id}/delete","Hapus Jalan"
30016,"reklame-jalan-kelas","/reklame/jalan/kelas","Kelas Jalan"
30017,"reklame-jalan-kelas-act","/reklame/jalan/kelas/{act}/act","Baca Kelas Jalan"
30018,"reklame-jalan-kelas-add","/reklame/jalan/kelas/add","Tambah Kelas Jalan"
30019,"reklame-jalan-kelas-edit","/reklame/jalan/kelas/{id}/edit","Edit Kelas Jalan"
30020,"reklame-jalan-kelas-delete","/reklame/jalan/kelas/{id}/delete","Hapus Kelas Jalan"
30021,"reklame-pemilik","/reklame/pemilik","Pemilik"
30022,"reklame-pemilik-act","/reklame/pemilik/{act}/act","Baca Pemilik"
30023,"reklame-pemilik-add","/reklame/pemilik/add","Tambah Pemilik"
30024,"reklame-pemilik-edit","/reklame/pemilik/{id}/edit","Edit Pemilik"
30025,"reklame-pemilik-delete","/reklame/pemilik/{id}/delete","Hapus Pemilik"
30026,"reklame-ketinggian","/reklame/ketinggian","Ketinggian"
30027,"reklame-ketinggian-act","/reklame/ketinggian/{act}/act","Baca Ketinggian"
30028,"reklame-ketinggian-add","/reklame/ketinggian/add","Tambah Ketinggian"
30029,"reklame-ketinggian-edit","/reklame/ketinggian/{id}/edit","Edit Ketinggian"
30030,"reklame-ketinggian-delete","/reklame/ketinggian/{id}/delete","Hapus Ketinggian"
30031,"reklame-nsr","/reklame/nsr","NSR"
30032,"reklame-nsr-act","/reklame/nsr/{act}/act","Baca NSR"
30033,"reklame-nsr-add","/reklame/nsr/add","Tambah NSR"
30034,"reklame-nsr-edit","/reklame/nsr/{id}/edit","Edit NSR"
30035,"reklame-nsr-delete","/reklame/nsr/{id}/delete","Hapus NSR"
30036,"reklame-opreklame","/reklame/opreklame","Objek Pajak"
30037,"reklame-opreklame-act","/reklame/opreklame/{act}/act","Baca Objek Pajak"
30038,"reklame-opreklame-add","/reklame/opreklame/add","Tambah Objek Pajak"
30039,"reklame-opreklame-edit","/reklame/opreklame/{id}/edit","Edit Objek Pajak"
30040,"reklame-opreklame-delete","/reklame/opreklame/{id}/delete","Hapus Objek Pajak" 
30041,"reklame-transaksi","/reklame/transaksi","Transaksi Pajak"
30042,"reklame-transaksi-act","/reklame/transaksi/{act}/act","Baca Transaksi Pajak"
30043,"reklame-transaksi-add","/reklame/transaksi/add","Tambah Transaksi Pajak"
30044,"reklame-transaksi-edit","/reklame/transaksi/{id}/edit","Edit Transaksi Pajak"
30045,"reklame-transaksi-delete","/reklame/transaksi/{id}/delete","Hapus Transaksi Pajak" 
30046,"reklame-opreklame-report","/reklame/opreklame/report","Laporan Pajak Reklame"
30047,"reklame-opreklame-report-act","/reklame/opreklame/report/act/{act}","Baca Laporan Pajak Reklame"
